,td_error,s
0,-1.0,0.0
1,-1.0,0.0
2,-1.0,0.0
3,-1.0,0.0
4,-1.0,0.0
5,-3.0,0.0
6,-1.0,0.0
7,-0.9989999999525025,0.0
8,-1.0,0.0
9,-1.0,0.0
10,-1.0,0.0
11,-1.0,0.0
12,-1.0,0.0
13,-1.0,0.0
14,-1.0,0.0
15,-1.0,0.0
16,-1.0,0.0
17,-1.0,0.0
18,-0.9989999999525025,0.0
19,-0.9989999999525025,0.0
20,-0.9989999999525025,0.0
21,-1.0,0.0
22,-1.0,0.0
23,-1.0,0.0
24,-2.0,0.0
25,-1.0,0.0
26,-2.996999999973923,0.0
27,-1.0,0.0
28,-1.0,0.0
29,-3.0,0.0
30,-0.9980009999126196,0.0
31,-1.0,0.0
32,-1.0,0.0
33,-1.0,0.0
34,-1.997999999905005,0.0
35,-0.9980009999126196,0.0
36,-1.0,0.0
37,-0.9989999999525025,0.0
38,-0.9989999999525025,0.0
39,-0.9989999999525025,0.0
40,-0.9989999999525025,0.0
41,-1.0,0.0
42,-3.0,0.0
43,-2.0,0.0
44,-0.9980009999126196,0.0
45,-0.9989999999525025,0.0
46,-1.0,0.0
47,-1.0,0.0
48,-1.0,0.0
49,-3.0,0.0
50,-1.0,0.0
51,-0.9980009999126196,0.0
52,-0.9980009999126196,0.0
53,-1.0,0.0
54,-1.0,0.0
55,-1.0,0.0
56,-0.9980009999126196,0.0
57,-0.9989999999525025,0.0
58,-2.99400300020352,0.0
59,-1.0,0.0
60,-0.9989999999525025,0.0
61,-0.9989999999525025,0.0
62,-1.0,0.0
63,-3.0,0.0
64,-0.9980009999126196,0.0
65,-1.9960019998252392,0.0
66,-1.0,0.0
67,-1.0,0.0
68,-0.9989999999525025,0.0
69,-2.0,0.0
70,-3.0,0.0
71,-0.9989999999525025,0.0
72,-3.0,0.0
73,-1.0,0.0
74,-2.996999999973923,0.0
75,-1.0,0.0
76,-1.0,0.0
77,-1.0,0.0
78,-2.0,0.0
79,-0.9989999999525025,0.0
80,-1.0,0.0
81,-2.0,0.0
82,-2.0,0.0
83,-2.0,0.0
84,-1.0,0.0
85,-1.0,0.0
86,-1.0,0.0
87,-1.0,0.0
88,-0.9980009999126196,0.0
89,-2.99400300020352,0.0
90,-0.9989999999525025,0.0
91,-2.996999999973923,0.0
92,-0.9970029988326132,0.0
93,-1.0,0.0
94,-1.0,0.0
95,-0.9989999999525025,0.0
96,-2.996999999973923,0.0
97,-2.996999999973923,0.0
98,-1.0,0.0
99,-0.9980009999126196,0.0
100,-2.99400300020352,0.0
101,-1.0,0.0
102,-0.9989999999525025,0.0
103,-1.0,0.0
104,-0.9989999999525025,0.0
105,-0.9980009999126196,0.0
106,-0.9989999999525025,0.0
107,-0.9980009999126196,0.0
108,-0.9989999999525025,0.0
109,-0.9989999999525025,0.0
110,-0.9980009999126196,0.0
111,-1.0,0.0
112,-0.9989999999525025,0.0
113,-1.0,0.0
114,-0.9980009999126196,0.0
115,-0.9970029988326132,0.0
116,-0.9980009999126196,0.0
117,-1.0,0.0
118,-1.997999999905005,0.0
119,-0.9970029988326132,0.0
120,-1.0,0.0
121,-0.9960059956647456,0.0
122,-0.9980009999126196,0.0
123,-1.9960019998252392,0.0
124,-0.9989999999525025,0.0
125,-1.0,0.0
126,-0.9989999999525025,0.0
127,-2.996999999973923,0.0
128,-1.0,0.0
129,-0.9989999999525025,0.0
130,-0.9960059956647456,0.0
131,-0.9970029988326132,0.0
132,-0.9989999999525025,0.0
133,-0.9989999999525025,0.0
134,-0.9970029988326132,0.0
135,-2.99400300020352,0.0
136,-0.9970029988326132,0.0
137,-1.0,0.0
138,-0.9989999999525025,0.0
139,-1.0,0.0
140,-0.9980009999126196,0.0
141,-1.0,0.0
142,-1.9940059976652265,0.0
143,-0.995009989477694,0.0
144,-0.9980009999126196,0.0
145,-0.9980009999126196,0.0
146,-2.991008996963501,0.0
147,-0.9989999999525025,0.0
148,-0.9970029988326132,0.0
149,-2.9880179883912206,0.0
150,-0.9989999999525025,0.0
151,-0.9989999999525025,0.0
152,-1.997999999905005,0.0
153,-1.0,0.0
154,-0.9989999999525025,0.0
155,-0.9970029988326132,0.0
156,-2.99400300020352,0.0
157,-0.9980009999126196,0.0
158,-1.997999999905005,0.0
159,-1.0,0.0
160,-2.991008996963501,0.0
161,-0.9989999999525025,0.0
162,-0.9989999999525025,0.0
163,-1.0,0.0
164,-0.9960059956647456,0.0
165,-1.0,0.0
166,-0.9970029988326132,0.0
167,-0.9989999999525025,0.0
168,-2.0,0.0
169,-0.9980009999126196,0.0
170,-0.9989999999525025,0.0
171,-1.0,0.0
172,-2.9850299702957273,0.0
173,-0.9980009999126196,0.0
174,-0.9970029988326132,0.0
175,-1.0,0.0
176,-0.9960059956647456,0.0
177,-0.9989999999525025,0.0
178,-2.0,0.0
179,-1.0,0.0
180,-0.9989999999525025,0.0
181,-0.9980009999126196,0.0
182,-0.9989999999525025,0.0
183,-0.9970029988326132,0.0
184,-0.9970029988326132,0.0
185,-1.997999999905005,0.0
186,-0.994014979340136,0.0
187,-1.0,0.0
188,-0.9989999999525025,0.0
189,-0.9980009999126196,0.0
190,-0.9960059956647456,0.0
191,-0.9989999999525025,0.0
192,-0.9960059956647456,0.0
193,-0.9980009999126196,0.0
194,-1.0,0.0
195,-0.9970029988326132,0.0
196,-0.9980009999126196,0.0
197,-0.9980009999126196,0.0
198,-0.9960059956647456,0.0
199,-1.0,0.0
200,-0.995009989477694,0.0
201,-1.9920119913294911,0.0
202,-0.9980009999126196,0.0
203,-2.991008996963501,0.0
204,-0.9970029988326132,0.0
205,-0.9960059956647456,0.0
206,-2.996999999973923,0.0
207,-1.0,0.0
208,-1.0,0.0
209,-2.9880179883912206,0.0
210,-2.9880179883912206,0.0
211,-0.9980009999126196,0.0
212,-1.997999999905005,0.0
213,-0.9989999999525025,0.0
214,-1.0,0.0
215,-0.9970029988326132,0.0
216,-0.9980009999126196,0.0
217,-3.0,0.0
218,-0.9989999999525025,0.0
219,-2.9850299702957273,0.0
220,-0.9970029988326132,0.0
221,-2.99400300020352,0.0
222,-1.0,0.0
223,-1.0,0.0
224,-2.9850299702957273,0.0
225,-2.0,0.0
226,-0.9989999999525025,0.0
227,-0.9970029988326132,0.0
228,-0.9970029988326132,0.0
229,-0.995009989477694,0.0
230,-1.9940059976652265,0.0
231,-0.9960059956647456,0.0
232,-1.0,0.0
233,-1.0,0.0
234,-0.9980009999126196,0.0
235,-0.9980009999126196,0.0
236,-0.9970029988326132,0.0
237,-0.9980009999126196,0.0
238,-0.9980009999126196,0.0
239,-0.9980009999126196,0.0
240,-1.0,0.0
241,-0.9970029988326132,0.0
242,-0.9980009999126196,0.0
243,-0.9989999999525025,0.0
244,-0.9989999999525025,0.0
245,-1.9960019998252392,0.0
246,-0.9970029988326132,0.0
247,-0.9960059956647456,0.0
248,-1.9960019998252392,0.0
249,-0.9989999999525025,0.0
250,-0.9970029988326132,0.0
251,-2.99400300020352,0.0
252,-0.9970029988326132,0.0
253,-0.9989999999525025,0.0
254,-0.9980009999126196,0.0
255,-0.9960059956647456,0.0
256,-2.982044940814376,0.0
257,-1.0,0.0
258,-0.994014979340136,0.0
259,-0.9989999999525025,0.0
260,-0.9970029988326132,0.0
261,-0.9970029988326132,0.0
262,-0.9980009999126196,0.0
263,-1.997999999905005,0.0
264,-0.9989999999525025,0.0
265,-2.982044940814376,0.0
266,-2.979062896221876,0.0
267,-0.9960059956647456,0.0
268,-0.9980009999126196,0.0
269,-1.9960019998252392,0.0
270,-1.0,0.0
271,-1.0,0.0
272,-1.0,0.0
273,-1.0,0.0
274,-1.0,0.0
275,-1.0,0.0
276,-1.0,0.0
277,-2.0,0.0
278,-1.0,0.0
279,-1.0,0.0
280,-2.0,0.0
281,-1.0,0.0
282,-1.0,0.0
283,-1.0,0.0
284,-1.0,0.0
285,-1.0,0.0
286,-1.0,0.0
287,-1.0,0.0
288,-1.0,0.0
289,-1.0,0.0
290,-1.0,0.0
291,-1.0,0.0
292,-1.0,0.0
293,-3.0,0.0
294,-1.0,0.0
295,-1.0,0.0
296,-3.0,0.0
297,-1.0,0.0
298,-1.0,0.0
299,-3.0,0.0
300,-2.0,0.0
301,-1.0,0.0
302,-1.0,0.0
303,-3.0,0.0
304,-1.0,0.0
305,-3.0,0.0
306,-2.0,0.0
307,-1.0,0.0
308,-1.0,0.0
309,-1.0,0.0
310,-1.0,0.0
311,-3.0,0.0
312,-1.0,0.0
313,-1.0,0.0
314,-1.0,0.0
315,-0.9989999999525025,0.0
316,-1.0,0.0
317,-1.0,0.0
318,-3.0,0.0
319,-1.0,0.0
320,-1.0,0.0
321,-1.0,0.0
322,-3.0,0.0
323,-1.0,0.0
324,-1.0,0.0
325,-1.0,0.0
326,-2.0,0.0
327,-1.0,0.0
328,-1.0,0.0
329,-2.0,0.0
330,-1.0,0.0
331,-1.0,0.0
332,-1.0,0.0
333,-2.0,0.0
334,-2.0,0.0
335,-1.0,0.0
336,-3.0,0.0
337,-3.0,0.0
338,-1.0,0.0
339,-0.9989999999525025,0.0
340,-1.0,0.0
341,-1.0,0.0
342,-1.0,0.0
343,-1.0,0.0
344,-1.0,0.0
345,-0.9989999999525025,0.0
346,-1.0,0.0
347,-1.0,0.0
348,-1.0,0.0
349,-1.0,0.0
350,-1.0,0.0
351,-1.0,0.0
352,-0.9989999999525025,0.0
353,-1.0,0.0
354,-3.0,0.0
355,-1.0,0.0
356,-1.0,0.0
357,-2.996999999973923,0.0
358,-1.0,0.0
359,-1.0,0.0
360,-1.0,0.0
361,-1.0,0.0
362,-1.0,0.0
363,-2.0,0.0
364,-2.0,0.0
365,-1.0,0.0
366,-1.0,0.0
367,-1.0,0.0
368,-1.0,0.0
369,-1.0,0.0
370,-1.0,0.0
371,-1.0,0.0
372,-1.0,0.0
373,-1.0,0.0
374,-1.0,0.0
375,-1.0,0.0
376,-1.0,0.0
377,-1.0,0.0
378,-1.0,0.0
379,-1.0,0.0
380,-1.0,0.0
381,-1.0,0.0
382,-1.0,0.0
383,-1.0,0.0
384,-1.0,0.0
385,-1.0,0.0
386,-1.0,0.0
387,-1.0,0.0
388,-2.0,0.0
389,-3.0,0.0
390,-2.0,0.0
391,-1.0,0.0
392,-3.0,0.0
393,-2.0,0.0
394,-2.0,0.0
395,-1.0,0.0
396,-1.0,0.0
397,-1.0,0.0
398,-1.0,0.0
399,-3.0,0.0
400,-1.0,0.0
401,-1.0,0.0
402,-3.0,0.0
403,-1.0,0.0
404,-1.0,0.0
405,-1.0,0.0
406,-2.996999999973923,0.0
407,-1.0,0.0
408,-1.0,0.0
409,-1.0,0.0
410,-0.9989999999525025,0.0
411,-1.0,0.0
412,-1.0,0.0
413,-1.0,0.0
414,-1.0,0.0
415,-1.0,0.0
416,-1.0,0.0
417,-1.0,0.0
418,-1.0,0.0
419,-1.0,0.0
420,-1.0,0.0
421,-1.0,0.0
422,-0.9989999999525025,0.0
423,-1.0,0.0
424,-1.0,0.0
425,-1.0,0.0
426,-2.0,0.0
427,-1.0,0.0
428,-1.0,0.0
429,-1.0,0.0
430,-0.9989999999525025,0.0
431,-1.0,0.0
432,-1.0,0.0
433,-0.9989999999525025,0.0
434,-1.0,0.0
435,-1.0,0.0
436,-1.0,0.0
437,-1.0,0.0
438,-1.0,0.0
439,-1.0,0.0
440,-1.0,0.0
441,-1.0,0.0
442,-3.0,0.0
443,-1.0,0.0
444,-3.0,0.0
445,-1.0,0.0
446,-0.9989999999525025,0.0
447,-1.0,0.0
448,-1.0,0.0
449,-0.9989999999525025,0.0
450,-1.0,0.0
451,-1.0,0.0
452,-1.0,0.0
453,-0.9989999999525025,0.0
454,-1.0,0.0
455,-1.0,0.0
456,-1.0,0.0
457,-1.0,0.0
458,-1.0,0.0
459,-1.0,0.0
460,-1.0,0.0
461,-1.0,0.0
462,-1.0,0.0
463,-1.0,0.0
464,-1.0,0.0
465,-1.0,0.0
466,-1.0,0.0
467,-1.0,0.0
468,-1.0,0.0
469,-1.0,0.0
470,-1.0,0.0
471,-1.0,0.0
472,-1.0,0.0
473,-1.0,0.0
474,-1.0,0.0
475,-3.0,0.0
476,-1.0,0.0
477,-1.0,0.0
