,episode,results,return,goal
374,375,"(179.0, 13, True)",179.0,True
375,376,"(177.0, 13, True)",177.0,True
376,377,"(180.0, 12, True)",180.0,True
377,378,"(181.0, 11, True)",181.0,True
378,379,"(178.0, 13, True)",178.0,True
379,380,"(177.0, 13, True)",177.0,True
380,381,"(173.0, 16, True)",173.0,True
381,382,"(182.0, 10, True)",182.0,True
382,383,"(181.0, 13, True)",181.0,True
383,384,"(175.0, 16, True)",175.0,True
384,385,"(181.0, 11, True)",181.0,True
385,386,"(175.0, 17, True)",175.0,True
386,387,"(179.0, 13, True)",179.0,True
387,388,"(179.0, 12, True)",179.0,True
388,389,"(175.0, 17, True)",175.0,True
389,390,"(173.0, 19, True)",173.0,True
390,391,"(173.0, 16, True)",173.0,True
391,392,"(180.0, 12, True)",180.0,True
392,393,"(179.0, 12, True)",179.0,True
393,394,"(178.0, 14, True)",178.0,True
394,395,"(172.0, 16, True)",172.0,True
395,396,"(176.0, 13, True)",176.0,True
396,397,"(182.0, 10, True)",182.0,True
397,398,"(176.0, 14, True)",176.0,True
398,399,"(177.0, 14, True)",177.0,True
399,400,"(166.0, 20, True)",166.0,True
400,401,"(171.0, 20, True)",171.0,True
401,402,"(180.0, 12, True)",180.0,True
402,403,"(175.0, 15, True)",175.0,True
403,404,"(175.0, 15, True)",175.0,True
404,405,"(179.0, 12, True)",179.0,True
405,406,"(180.0, 12, True)",180.0,True
406,407,"(177.0, 13, True)",177.0,True
407,408,"(182.0, 10, True)",182.0,True
408,409,"(177.0, 13, True)",177.0,True
409,410,"(178.0, 14, True)",178.0,True
410,411,"(178.0, 14, True)",178.0,True
411,412,"(173.0, 17, True)",173.0,True
412,413,"(173.0, 17, True)",173.0,True
413,414,"(175.0, 16, True)",175.0,True
414,415,"(176.0, 14, True)",176.0,True
415,416,"(174.0, 16, True)",174.0,True
416,417,"(-71.0, 171, True)",-71.0,True
417,418,"(-397.0, 415, True)",-397.0,True
418,419,"(182.0, 12, True)",182.0,True
419,420,"(176.0, 14, True)",176.0,True
420,421,"(178.0, 12, True)",178.0,True
421,422,"(180.0, 11, True)",180.0,True
422,423,"(180.0, 12, True)",180.0,True
423,424,"(182.0, 12, True)",182.0,True
424,425,"(178.0, 13, True)",178.0,True
425,426,"(182.0, 10, True)",182.0,True
426,427,"(181.0, 11, True)",181.0,True
427,428,"(178.0, 14, True)",178.0,True
428,429,"(181.0, 11, True)",181.0,True
429,430,"(175.0, 17, True)",175.0,True
430,431,"(162.0, 22, True)",162.0,True
431,432,"(181.0, 11, True)",181.0,True
432,433,"(178.0, 14, True)",178.0,True
433,434,"(171.0, 18, True)",171.0,True
434,435,"(180.0, 12, True)",180.0,True
435,436,"(174.0, 16, True)",174.0,True
436,437,"(175.0, 15, True)",175.0,True
437,438,"(177.0, 15, True)",177.0,True
438,439,"(172.0, 15, True)",172.0,True
439,440,"(182.0, 10, True)",182.0,True
440,441,"(180.0, 12, True)",180.0,True
441,442,"(182.0, 10, True)",182.0,True
442,443,"(172.0, 18, True)",172.0,True
443,444,"(176.0, 15, True)",176.0,True
444,445,"(174.0, 14, True)",174.0,True
445,446,"(176.0, 15, True)",176.0,True
446,447,"(180.0, 12, True)",180.0,True
447,448,"(177.0, 13, True)",177.0,True
448,449,"(181.0, 11, True)",181.0,True
449,450,"(182.0, 10, True)",182.0,True
450,451,"(177.0, 13, True)",177.0,True
451,452,"(182.0, 10, True)",182.0,True
452,453,"(182.0, 12, True)",182.0,True
453,454,"(182.0, 10, True)",182.0,True
454,455,"(181.0, 11, True)",181.0,True
455,456,"(178.0, 13, True)",178.0,True
456,457,"(179.0, 13, True)",179.0,True
457,458,"(180.0, 12, True)",180.0,True
458,459,"(182.0, 10, True)",182.0,True
459,460,"(178.0, 12, True)",178.0,True
460,461,"(168.0, 18, True)",168.0,True
461,462,"(176.0, 16, True)",176.0,True
462,463,"(182.0, 10, True)",182.0,True
463,464,"(179.0, 13, True)",179.0,True
464,465,"(172.0, 15, True)",172.0,True
465,466,"(-504.0, 603, True)",-504.0,True
466,467,"(178.0, 12, True)",178.0,True
467,468,"(181.0, 11, True)",181.0,True
468,469,"(178.0, 12, True)",178.0,True
469,470,"(178.0, 13, True)",178.0,True
470,471,"(175.0, 15, True)",175.0,True
471,472,"(171.0, 19, True)",171.0,True
472,473,"(169.0, 19, True)",169.0,True
473,474,"(181.0, 11, True)",181.0,True
474,475,"(182.0, 10, True)",182.0,True
475,476,"(182.0, 10, True)",182.0,True
476,477,"(179.0, 14, True)",179.0,True
477,478,"(183.0, 11, True)",183.0,True
478,479,"(182.0, 10, True)",182.0,True
479,480,"(178.0, 12, True)",178.0,True
480,481,"(175.0, 15, True)",175.0,True
481,482,"(176.0, 14, True)",176.0,True
482,483,"(182.0, 10, True)",182.0,True
483,484,"(171.0, 18, True)",171.0,True
484,485,"(183.0, 11, True)",183.0,True
485,486,"(181.0, 11, True)",181.0,True
486,487,"(173.0, 16, True)",173.0,True
487,488,"(178.0, 12, True)",178.0,True
488,489,"(184.0, 10, True)",184.0,True
489,490,"(167.0, 22, True)",167.0,True
490,491,"(173.0, 17, True)",173.0,True
491,492,"(171.0, 17, True)",171.0,True
492,493,"(178.0, 14, True)",178.0,True
493,494,"(173.0, 17, True)",173.0,True
494,495,"(175.0, 17, True)",175.0,True
495,496,"(176.0, 14, True)",176.0,True
496,497,"(179.0, 13, True)",179.0,True
497,498,"(175.0, 16, True)",175.0,True
498,499,"(179.0, 13, True)",179.0,True
499,500,"(176.0, 14, True)",176.0,True
500,501,"(178.0, 13, True)",178.0,True
501,502,"(181.0, 11, True)",181.0,True
502,503,"(182.0, 10, True)",182.0,True
503,504,"(174.0, 16, True)",174.0,True
504,505,"(181.0, 11, True)",181.0,True
505,506,"(182.0, 10, True)",182.0,True
506,507,"(179.0, 13, True)",179.0,True
507,508,"(180.0, 12, True)",180.0,True
508,509,"(180.0, 12, True)",180.0,True
509,510,"(176.0, 15, True)",176.0,True
510,511,"(181.0, 11, True)",181.0,True
511,512,"(178.0, 12, True)",178.0,True
512,513,"(178.0, 14, True)",178.0,True
513,514,"(170.0, 19, True)",170.0,True
514,515,"(176.0, 15, True)",176.0,True
515,516,"(179.0, 13, True)",179.0,True
