,epsilon,index
0,1.0,1
1,0.9996198479391757,2
2,0.9992396958783514,3
3,0.9988595438175271,4
4,0.9984793917567026,5
5,0.9980992396958783,6
6,0.997719087635054,7
7,0.9973389355742297,8
8,0.9969587835134054,9
9,0.9965786314525811,10
10,0.9961984793917567,11
11,0.9958183273309323,12
12,0.995438175270108,13
13,0.9950580232092837,14
14,0.9946778711484594,15
15,0.9942977190876351,16
16,0.9939175670268108,17
17,0.9935374149659864,18
18,0.993157262905162,19
19,0.9927771108443377,20
20,0.9923969587835134,21
21,0.9920168067226891,22
22,0.9916366546618648,23
23,0.9912565026010404,24
24,0.990876350540216,25
25,0.9904961984793917,26
26,0.9901160464185674,27
27,0.9897358943577431,28
28,0.9893557422969188,29
29,0.9889755902360945,30
30,0.9885954381752701,31
31,0.9882152861144458,32
32,0.9878351340536214,33
33,0.9874549819927971,34
34,0.9870748299319728,35
35,0.9866946778711485,36
36,0.9863145258103241,37
37,0.9859343737494998,38
38,0.9855542216886755,39
39,0.9851740696278511,40
40,0.9847939175670268,41
41,0.9844137655062025,42
42,0.9840336134453782,43
43,0.9836534613845538,44
44,0.9832733093237295,45
45,0.9828931572629052,46
46,0.9825130052020808,47
47,0.9821328531412565,48
48,0.9817527010804322,49
49,0.9813725490196078,50
50,0.9809923969587835,51
51,0.9806122448979592,52
52,0.9802320928371349,53
53,0.9798519407763105,54
54,0.9794717887154862,55
55,0.9790916366546618,56
56,0.9787114845938375,57
57,0.9783313325330132,58
58,0.9779511804721889,59
59,0.9775710284113646,60
60,0.9771908763505402,61
61,0.9768107242897159,62
62,0.9764305722288915,63
63,0.9760504201680672,64
64,0.9756702681072429,65
65,0.9752901160464186,66
66,0.9749099639855943,67
67,0.97452981192477,68
68,0.9741496598639455,69
69,0.9737695078031212,70
70,0.9733893557422969,71
71,0.9730092036814726,72
72,0.9726290516206483,73
73,0.972248899559824,74
74,0.9718687474989997,75
75,0.9714885954381752,76
76,0.9711084433773509,77
77,0.9707282913165266,78
78,0.9703481392557023,79
79,0.969967987194878,80
80,0.9695878351340537,81
81,0.9692076830732292,82
82,0.9688275310124049,83
83,0.9684473789515806,84
84,0.9680672268907563,85
85,0.967687074829932,86
86,0.9673069227691077,87
87,0.9669267707082834,88
88,0.9665466186474589,89
89,0.9661664665866346,90
90,0.9657863145258103,91
91,0.965406162464986,92
92,0.9650260104041617,93
93,0.9646458583433374,94
94,0.964265706282513,95
95,0.9638855542216886,96
96,0.9635054021608643,97
97,0.96312525010004,98
98,0.9627450980392157,99
99,0.9623649459783914,100
100,0.961984793917567,101
101,0.9616046418567427,102
102,0.9612244897959183,103
103,0.960844337735094,104
104,0.9604641856742697,105
105,0.9600840336134454,106
106,0.9597038815526211,107
107,0.9593237294917967,108
108,0.9589435774309724,109
109,0.958563425370148,110
110,0.9581832733093237,111
111,0.9578031212484994,112
112,0.9574229691876751,113
113,0.9570428171268508,114
114,0.9566626650660264,115
115,0.9562825130052021,116
116,0.9559023609443777,117
117,0.9555222088835534,118
118,0.9551420568227291,119
119,0.9547619047619048,120
120,0.9543817527010804,121
121,0.9540016006402561,122
122,0.9536214485794318,123
123,0.9532412965186075,124
124,0.9528611444577831,125
125,0.9524809923969588,126
126,0.9521008403361344,127
127,0.9517206882753101,128
128,0.9513405362144858,129
129,0.9509603841536615,130
130,0.9505802320928372,131
131,0.9502000800320128,132
132,0.9498199279711885,133
133,0.9494397759103641,134
134,0.9490596238495398,135
135,0.9486794717887155,136
136,0.9482993197278912,137
137,0.9479191676670669,138
138,0.9475390156062425,139
139,0.9471588635454182,140
140,0.9467787114845938,141
141,0.9463985594237695,142
142,0.9460184073629452,143
143,0.9456382553021209,144
144,0.9452581032412966,145
145,0.9448779511804722,146
146,0.9444977991196478,147
147,0.9441176470588235,148
148,0.9437374949979992,149
149,0.9433573429371749,150
150,0.9429771908763506,151
151,0.9425970388155263,152
152,0.9422168867547018,153
153,0.9418367346938775,154
154,0.9414565826330532,155
155,0.9410764305722289,156
156,0.9406962785114046,157
157,0.9403161264505803,158
158,0.939935974389756,159
159,0.9395558223289315,160
160,0.9391756702681072,161
161,0.9387955182072829,162
162,0.9384153661464586,163
163,0.9380352140856343,164
164,0.93765506202481,165
165,0.9372749099639857,166
166,0.9368947579031612,167
167,0.9365146058423369,168
168,0.9361344537815126,169
169,0.9357543017206883,170
170,0.935374149659864,171
171,0.9349939975990396,172
172,0.9346138455382152,173
173,0.9342336934773909,174
174,0.9338535414165666,175
175,0.9334733893557423,176
176,0.933093237294918,177
177,0.9327130852340937,178
178,0.9323329331732693,179
179,0.931952781112445,180
180,0.9315726290516206,181
181,0.9311924769907963,182
182,0.930812324929972,183
183,0.9304321728691477,184
184,0.9300520208083234,185
185,0.929671868747499,186
