,ep_return,steps,episode_return,goal_reached
0,1,0.0279,-190.0,True
1,2,0.054,-144.0,True
2,3,0.1153,-581.0,True
3,4,0.1764,-593.0,True
4,5,0.2253,-448.0,True
5,6,0.2894,-617.0,True
6,7,0.3863,-1016.0,True
7,8,0.4787,-993.0,True
8,9,0.5611,-805.0,True
9,10,0.658,-994.0,True
10,11,0.7278,-683.0,True
11,12,0.8077,-788.0,True
12,13,0.9077,-1038.0,False
13,14,1.0,-908.0,False
